Type;Fellesnavn;Fritekst;Adresse;Skudd;Siste skudd;Skudd siden plassering;Dato for flytting;Eier
Smart Pipe 160;A86D-WT15060-16010314;#KC Stav anger Kommune Av løp;Settegarnsv eien ;0.0;29/08‐19  09:50;37;24/10‐17;Egen
Smart Pipe 160;A86D-WT160-15004591;#KC Stav anger Kommune Av løp;Midgardtunet ;0.0;04/09‐19  06:50;98;14/06‐17;Egen
Smart Pipe 160;A86D-WT160-15005720(JEL);#KC Stav anger Kommune Av løp;Konv allstien ;0.0;28/12‐18  07:20;19;08/10‐18;Egen
Smart Pipe 160;A86D-WT160-16001144(JEL);#KC Stav anger Kommune Av løp;Vågedalsstubben ;0.0;06/06‐19  22:29;38;27/02‐18;Egen
Smart Pipe 160;A86D-WT160-16001696;#KC Stav anger Kommune Av løp;Øv re Strandgate ;0.0;20/10‐17  17:12;2;04/09‐17;Egen
Smart Pipe 160;A86D-WT160-16002326;#KC Stav anger Kommune Av løp;Nedre Stokkav ei ;0.0;28/08‐19  05:49;90;08/09‐17;Egen
Smart Pipe 160;A86D-WT160-16007178(JEL);#KC Stav anger Kommune Av løp;Fasanv eien ;0.0;17/05‐19  09:58;48;09/04‐18;Egen
Smart Pipe 160;A86D-WT160-16010307;#KC Stav anger Kommune Av løp;Slettmy rhagen ;0.0;29/08‐19  16:26;141;16/06‐17;Egen
Smart Pipe 160;A86D-WT160-16010308(JEL);#KC Stav anger Kommune Av løp;Porf y rv eien ;0.0;31/08‐19  22:16;63;03/12‐18;Egen
Smart Pipe 160;A86D-WT160-16010617(JEL);#KC Stav anger Kommune Av løp;Haraldskroken ;0.0;13/08‐19  11:55;43;06/02‐19;Egen
Smart Pipe 160;A86D-WT160-16012359;#KC Stav anger Kommune Av løp;Bakkegata ;0.0;21/06‐19  19:41;44;14/11‐17;Egen
Smart Pipe 160;A86D-WT160-16012368(JEL);#KC Stav anger Kommune Av løp;Nedre Stokkav ei ;0.0;30/08‐19  16:42;39;04/06‐18;Egen
Smart Pipe 160;A86D-WT160-16012369;#KC Stav anger Kommune Av løp;Ogmund Finnsons v ei ;0.0;20/08‐19  14:37;47;15/08‐17;Egen
Smart Pipe 160;A86D-WT160-16012386;#KC Stav anger Kommune Av løp;Paradisv eien ;0.0;20/06‐19  21:21;32;26/07‐17;Egen
Smart Pipe 160;A86D-WT160-16012413;#KC Stav anger Kommune Av løp;Løv dahls gate ;0.0;11/04‐19  18:31;18;28/07‐17;Egen
Smart Pipe 160;A86D-WT160-16012439;#KC Stav anger Kommune Av løp;Øv re Holmegate ;0.0;18/03‐19  08:28;64;27/07‐17;Egen
Smart Pipe 160;A86D-WT160-16012454;#KC Stav anger Kommune Av løp;Løv dahls gate ;0.0;09/07‐19  23:36;81;14/11‐17;Egen
Smart Pipe 160;A86D-WT160-16012750;#KC Stav anger Kommune Av løp;Grasheibakken ;0.0;24/12‐18  01:49;11;15/08‐17;Egen
Smart Pipe 160;A86D-WT160-16012782;#KC Stav anger Kommune Av løp;Løv dahls gate ;0.0;20/08‐19  00:43;41;28/07‐17;Egen
Smart Pipe 160;A86D-WT160-16012786;#KC Stav anger Kommune Av løp;Ogmund Finnsons v ei ;0.0;28/08‐19  10:55;9;16/08‐17;Egen
